instance;EE-IT_runtime;EE-ITSCC_runtime;EE-PROC_runtime;EE-NIT_runtime
ER_100_100_5;0.07511340919882059;0.039970175828784704;0.07265076693147421;0.03916540369391441
ER_100_100_7;0.04329842468723655;0.07280832342803478;0.0728167830966413;0.22053537610918283
ER_100_30_5;0.042494517751038074;0.07300786906853318;0.07288985140621662;400
ER_100_80_10;0.07490802882239223;0.07267437502741814;0.0728093171492219;400
ER_200_10_2;0.32582597667351365;0.323791213799268;0.3238765220157802;0.07383273215964437
ER_200_20_3;3.4876539460383356;3.4359601512551308;3.4851947049610317;0.04064320167526603
ER_200_20_6;4.092196043115109;4.298991992138326;4.288433311972767;0.07351667201146483
ER_200_30_5;3.088226309977472;3.286430795211345;3.2854865011759102;0.07334633311256766
ER_200_60_6;0.42845509061589837;0.4264882057905197;0.4250290277414024;0.07326349196955562
ER_200_80_5;0.17662761313840747;0.1742171561345458;0.1731411791406572;9.153771237004548
ER_300_10_9;400;400;400;400
ER_300_20_2;400;400;400;0.0772168361581862
ER_300_30_7;190.9883365156129;165.76391965523362;160.95234033232555;0.07354285893961787
ER_300_30_8;190.12917484575883;185.66707195714116;183.63981899619102;400
ER_300_60_5;3.640811970923096;4.288949865847826;4.296781996730715;400
ER_300_80_2;0.5776202790439129;0.5760422646999359;0.5782865500077605;310.29786063497886
ER_300_90_2;0.22739017428830266;0.2750232992693782;0.2763420669361949;400
ER_400_20_9;400;400;400;400
ER_400_30_9;400;400;400;400
ER_400_40_7;400;400;400;400
ER_400_50_4;124.33431155700237;108.39006649609655;107.92010570829734;0.12152892164885998
ER_400_60_5;32.397331858985126;24.522947758901864;24.571009126026183;1.0737365181557834
ER_500_100_5;0.2781249061226845;0.37392457108944654;0.3778576930053532;400
ER_500_60_5;127.36374839907512;142.93634674930945;143.94931577099487;0.06874179979786277
ER_500_80_6;4.493094487115741;4.288843540009111;4.290392874740064;0.07202847022563219
