instance;EE-IT_runtime;EE-ITSCC_runtime;EE-PROC_runtime;EE-NIT_runtime
admbuster_1000;0.17751172743737698;0.17379777505993843;0.17433413676917553;0.17126992717385292
admbuster_10000;10.154193651862442;15.999470559880137;16.349131210707128;15.846203709952533
admbuster_100000;400;400;400;400
admbuster_1000000;400;400;400;400
admbuster_1500000;400;400;400;400
admbuster_2000;0.426327183842659;1.1348912180401385;0.6316598355770111;1.0322657166980207
admbuster_20000;44.03584770811722;58.21640272485092;60.39351151883602;57.83386962907389
admbuster_200000;400;400;400;400
admbuster_2000000;400;400;400;400
admbuster_2500000;400;;400;
admbuster_4000;1.6311975521966815;2.34068541508168;2.540740800090134;2.588571253698319
admbuster_50000;351.7842903211713;400;400;400
admbuster_500000;400;400;400;400
admbuster_6000;3.681223580148071;5.201478538103402;5.753001174889505;5.459403007756919
admbuster_8000;6.436471203807741;9.362603151239455;9.255058957263827;9.163441972341388
