instance;EE-IT_runtime;EE-ITSCC_runtime;EE-PROC_runtime;EE-NIT_runtime
crusti_g2io_125_0.5_31_29;0.47711861692368984;4.339549127034843;4.391176023054868;4.99369260808453
crusti_g2io_125_0.5_31_32;0.5279864491894841;6.953482693061233;5.2448540618643165;5.6963393138721585
crusti_g2io_125_0.5_31_33;0.5292044933885336;6.199553402140737;7.003280623815954;7.706174452789128
crusti_g2io_125_0.5_31_48;0.47895281203091145;6.400299195200205;4.5414400161243975;5.546544172335416
crusti_g2io_125_0.5_31_5;1.0815730514004827;4.5913695697672665;4.741136415861547;6.199389555025846
crusti_g2io_150_0.1_255_18;11.175686575006694;400;400;400
crusti_g2io_150_0.1_255_26;11.327039824333042;400;400;400
crusti_g2io_175_0.2_511_10;86.05117508303374;400;400;400
crusti_g2io_175_0.2_511_13;48.60117607517168;400;400;400
crusti_g2io_175_0.2_511_32;97.13641764735803;400;400;400
crusti_g2io_175_0.2_511_36;66.71073556412011;400;400;400
crusti_g2io_175_0.2_511_48;106.28196558682248;400;400;400
crusti_g2io_200_0.1_127_12;48.479402107186615;400;400;400
crusti_g2io_200_0.1_127_19;43.06222142605111;400;400;400
crusti_g2io_200_0.1_127_38;48.86363426595926;400;400;400
crusti_g2io_200_0.1_127_46;48.33549922378734;400;400;400
crusti_g2io_200_0.1_127_6;52.946110422722995;400;400;400
crusti_g2io_200_0.1_127_8;51.345661454834044;400;400;400
crusti_g2io_225_0.1_31_25;58.45971784600988;252.81089686322957;266.3696210635826;245.01528392219916
crusti_g2io_225_0.2_127_2;66.26904538786039;400;400;400
crusti_g2io_225_0.2_127_31;58.93875146005303;400;400;400
crusti_g2io_225_0.2_127_41;64.03738707816228;400;400;400
crusti_g2io_250_0.2_255_12;211.88449253188446;400;400;400
crusti_g2io_250_0.2_255_15;232.76969715673476;400;400;400
crusti_g2io_250_0.2_255_18;236.02965876506642;400;400;400
crusti_g2io_250_0.2_255_24;214.53888379689306;400;400;400
crusti_g2io_250_0.2_255_31;210.77619011094794;400;400;400
crusti_g2io_250_0.2_255_43;237.53503299690783;400;400;400
crusti_g2io_300_0.2_255_11;400;400;400;400
crusti_g2io_300_0.2_255_17;400;400;400;400
crusti_g2io_300_0.2_255_26;400;400;400;400
crusti_g2io_350_0.5_255_40;102.17234242102131;400;400;400
