instance;EE-IT_runtime;EE-ITSCC_runtime;EE-PROC_runtime;EE-NIT_runtime
Large-result_b1;400;400;400;400
Large-result_b14;318.6028790711425;400;400;400
Large-result_b15;400;400;400;400
Large-result_b16;400;400;400;400
Large-result_b18;400;400;400;400
Large-result_b20;384.0684582768008;400;400;400
Large-result_b22;400;400;400;400
Large-result_b5;400;400;400;400
Large-result_b6;400;400;400;400
Medium-result_b1;4.839714118745178;4.389336669817567;260.7038607369177;400
Medium-result_b12;400;400;400;400
Medium-result_b17;2.1824470930732787;4.64139075903222;400;400
Medium-result_b19;2.5371079072356224;9.471945804078132;400;400
Medium-result_b21;9.01283254288137;45.856373836286366;400;400
Medium-result_b22;11.071515859104693;45.18126792181283;400;400
Medium-result_b26;9.012029581703246;31.754364457912743;400;400
Medium-result_b27;1.8848122917115688;5.960806083865464;400;400
Medium-result_b28;2.135846443939954;7.309558737557381;400;400
Medium-result_b29;6.052141681779176;25.39763672510162;400;400
Medium-result_b30;27.941723892930895;84.98676159791648;400;400
Medium-result_b4;57.7530278400518;84.84184220293537;400;400
Medium-result_b7;400;400;400;400
Medium-result_b8;400;400;400;400
Small-result_b26;0.0766675379127264;0.12359394505620003;12.313482150901109;400
Small-result_b27;0.07405640883371234;0.12419832590967417;12.318271678872406;400
