instance;EE-IT_runtime;EE-ITSCC_runtime;EE-PROC_runtime;EE-NIT_runtime
st_1015_36_27_3440;400;400;400;400
st_1037_97_34_647;400;400;400;400
st_1230_64_16_373;400;400;400;400
st_1234_99_25_3756;0.6770708751864731;0.37172526493668556;0.42362038791179657;0.47889347560703754
st_1244_87_28_3669;3.389437835663557;5.089420578908175;2.883648253045976;2.8342160931788385
st_1276_43_25_1938;400;400;400;400
st_1350_55_31_149;400;400;400;400
st_1352_53_23_3737;400;400;400;400
st_1391_70_12_1674;400;400;400;400
st_1400_85_28_2113;400;400;400;400
st_1412_95_15_3263;400;400;400;400
st_1489_41_39_1070;400;400;400;400
st_400_44_32_3867;0.0419246512465179;0.07197844190523028;0.07140664383769035;0.0727337310090661
st_425_53_10_1991;0.042010776698589325;0.0728783467784524;0.07307527819648385;0.07045056764036417
st_439_93_17_3099;0.03930643294006586;0.07262813718989491;0.0729968510568142;0.12310193199664354
st_496_75_39_1354;0.3736560521647334;0.17320368625223637;0.17336655035614967;0.17346957605332136
st_521_43_14_3157;0.040596350096166134;0.07289108075201511;0.07299523381516337;0.123224345035851
st_659_37_25_686;400;400;400;400
st_704_68_9_3183;0.3748502810485661;0.12236221972852945;0.12214989168569446;0.11937068589031696
st_815_74_9_2860;0.4767996701411903;0.172964199911803;0.17363214306533337;0.22349757561460137
st_826_34_8_3910;0.12666328297927976;0.17412690678611398;0.17363279592245817;0.17460343800485134
st_883_28_16_1144;400;400;400;400
st_890_86_9_572;400;400;400;400
st_902_67_36_2711;17.457957597915083;21.197460277937353;19.391822392120957;19.339658175129443
st_955_26_12_3941;14.152905375696719;17.187956396955997;17.885550302919;18.038215237669647
